hgnc_symbol	affy_primeview
CHRFAM7A	11739850_s_at
APBA1	11725859_at
APBA1	11725860_at
APBA1	
OR2H4P	
TRIM26BP	
SERPINF1	
WNT9B	
WNT9B	11742133_a_at
RPSAP2	
PPP1R10	11718254_a_at
PPP1R10	11718253_a_at
PPP1R10	
SCARF1	11741757_a_at
SCARF1	11732854_x_at
SCARF1	
TTYH1	
TTYH1	11745477_x_at
TTYH1	11752811_a_at
TTYH1	11751162_x_at
TTYH1	11752812_x_at
TTYH1	11720059_a_at
TTYH1	11720060_x_at
TTYH1	11751161_a_at
MAPT-AS1	
LINC02210-CRHR1	
	11737986_s_at
MAPK8IP1P1	
LRRC37A4P	11729372_s_at
NDUFB9P1	
NSF	11748462_a_at
NSF	11716973_a_at
NSF	11716972_s_at
NSF	
PRH2	11736004_a_at
PRH2	11736005_x_at
ARHGAP11A	11734915_at
ARHGAP11A	11737986_s_at
ARHGAP11A	11733664_x_at
ARHGAP11A	11749656_a_at
ARHGAP11A	11733663_a_at
TRBV11-1	
TAF9	11744466_x_at
TAF9	11718517_x_at
TAF9	11718516_s_at
TRBV7-6	
LINC02688	
TRBV10-1	
TRBV5-2	
TRBV7-4	
TRBV5-5	
LINC01194	
TRBV11-3	
TAS2R30	11759473_at
TAS2R30	11715255_s_at
TRBV1	
TRBV19	
TAS2R19	11738326_at
TRBV12-4	
LINC02569	
TAS2R8	11732972_at
OR2J4P	
TRBV7-1	
HCG18	
TAS2R7	11735859_at
TRBV25-1	
LRRC37A2	11734144_s_at
LRRC37A2	
IGKV1D-8	
TRBV17	
IGKV3D-7	
TAS2R50	11738919_at
TRBV5-3	
HNRNPA1P2	
TRBV7-9	
TAS2R43	11738912_x_at
TAS2R43	11738911_at
STK19	11718934_a_at
STK19	11718935_x_at
STK19	11747466_a_at
STK19	11760381_at
