hgnc_symbol	affy_u133_x3p
ZNF92P2	
MTDHP5	
VN1R85P	
BNIP3P31	
BNIP3P30	
LILRA2	
LILRA2	207857_3p_at
LILRA2	g5803067_3p_at
LILRA2	g5803067_3p_x_at
LILRA2	g1907318_3p_x_at
SSBP1	
SSBP1	Hs2.291324.1.S1_3p_s_at
DLL1	g6180181_3p_a_at
DLL1	Hs.250500.2.S1_3p_a_at
CDHR5	g12313878_3p_a_at
CDHR5	g12313880_3p_at
CDHR5	
OR8U9	
OR8J2	
FAM8A2P	
NAA50P1	
OSCAR	Hs2.347655.3.S1_3p_a_at
OR8U8	
OR8L1P	
OR5T3	
OR5T2	
LINC01624	
OR8K2P	
OR8I1P	
OR8K3	
OR8H1	
OR5T1	
RPL5P29	
OR8K1	
OR8J1	
SMN1	
SMN1	g13259515_3p_s_at
TFPT	g7019370_3p_at
OR2J3	Hs.247760.0.S1_3p_x_at
OR2J3	Hs.247760.0.S1_3p_at
	Hs.324728.0.S1_3p_at
	Hs.167726.0.A1_3p_at
	Hs.324728.0.S1_3p_x_at
HLA-H	
MICB	g5174564_3p_at
MICB	
LINC02197	
DEFB104B	Hs2.351810.1.S1_3p_at
AGK	
AGK	g8922700_3p_at
AGK	Hs.260238.2.S1_3p_a_at
SERF1A	g3641541_3p_at
SERF1A	g13027631_3p_s_at
SERF1A	
DEFB105B	Hs2.381378.1.S1_3p_at
PRPF31	Hs.183438.0.A1_3p_a_at
PRPF31	g7661653_3p_a_at
PRR23D1	Hs.122203.0.A1_3p_at
WEE2	
DEFB4B	g13124885_3p_at
FAM90A7	
LILRB1	207104_3p_x_at
LILRB1	g2660705_3p_a_at
LILRB1	g5729926_3p_a_at
LILRB1	211336_3p_x_at
LILRB1	
DEFB103B	g10717135_3p_at
	g7959912_3p_s_at
	223162_3p_s_at
	Hs.260238.1.A1_3p_at
	g7959912_3p_a_at
DEFB108C	Hs2.97999.1.S1_3p_s_at
FAM90A22	
OR7E157P	
HSPD1P3	
FAM90A21P	
ZNF705G	
NDUFA3	g4758771_3p_at
HCN3	Hs.284171.1.S1_3p_at
HCN3	
KIR2DS4	
CYP2D7	Hs.274598.1.S1_3p_at
DEFB107B	Hs2.254725.1.S1_3p_at
OR2U2P	
TRIM10	4848221C_3p_s_at
TRIM10	g12407412_3p_s_at
TRIM10	g12407414_3p_at
TRIM10	g12407412_3p_a_at
FAM90A6P	
SPAG11B	
SPAG11B	g7140929_3p_a_at
SPAG11B	Hs2.2717.7.S1_3p_a_at
SPAG11B	Hs2.2717.6.S1_3p_a_at
SPAG11B	g7140925_3p_s_at
SPAG11B	1553582_3p_a_at
SPAG11B	1553579_3p_a_at
SCT	g12545379_3p_at
FAM189B	g5729751_3p_s_at
FAM189B	
PTDSS2	
PTDSS2	g13540554_3p_s_at
DEFB106B	Hs2.212261.1.S1_3p_at
DEFB106B	Hs2.212261.1.S1_3p_s_at
MICG	
RNF39	Hs2.407456.1.A1_3p_at
RNF39	g13376843_3p_a_at
FAM66B	
FAM90A23	
ZNF90P2	
MUC21	
HCG15	
TRIM31-AS1	
TNF	g10835154_3p_a_at
OR11A1	g7363440_3p_at
LINC03015	
PRAMEF5	
	Hs2.190523.1.A1_3p_at
FAM20C	
MOG	Hs2.141308.4.S1_3p_s_at
MOG	g1688058_3p_a_at
MOG	
LINC03014	Hs.130874.0.S1_3p_at
LINC03014	
	g12738830_3p_s_at
PRAMEF22	Hs.247785.0.S1_3p_at
